column,missing_count,missing_percentage
hgvs_nt,22824,100.0
hgvs_splice,22824,100.0
LLR_evidence_strength,2270,9.945671223273747
variant_id,2141,9.380476691202242
mut_aa1,2141,9.380476691202242
wt_aa3,2141,9.380476691202242
wt_aa1,2141,9.380476691202242
position,2141,9.380476691202242
reference_position_valid,2141,9.380476691202242
reference_residue,2141,9.380476691202242
ref_match,2141,9.380476691202242
mut_aa3,2141,9.380476691202242
LLR_ci_upper,197,0.8631265334735367
se,197,0.8631265334735367
LLR_ci_lower,197,0.8631265334735367
hgvs_pro,0,0.0
accession,0,0.0
LLR,0,0.0
score,0,0.0
hgvs_pro_normalized,0,0.0
variant_class,0,0.0
variant_component_count,0,0.0
score_numeric,0,0.0
protein_variant_duplicate,0,0.0
eligible_simple_missense,0,0.0
