path,value
root.title,Scores from cell surface expression deep mutational scan of KCNH2 in HEK293T cells
root.methodText,The trafficking scores were computed through a sequence-based quantification system where barcode abundance in each fluorescence-sorted cell bin was used as a proxy for variant protein expression at the cell surface. Computational analysis involved normalizing the frequency distribution of variant-specific barcodes across different fluorescence intensity bins relative to wild-type barcode distribution patterns. A weighted scoring algorithm was implemented that considered the relative enrichment ...
root.abstractText,"Background: Long QT syndrome is a lethal arrhythmia syndrome, frequently caused by rare loss-of-function variants in the potassium channel encoded by _KCNH2_. Variant classification is difficult, often because of lack of functional data. Moreover, variant-based risk stratification is also complicated by heterogenous clinical data and incomplete penetrance. Here we sought to test whether variant-specific information, primarily from high-throughput functional assays, could improve both classificat..."
root.shortDescription,Cell surface expression deep mutational scan of KCNH2 variants in HEK293T cells
root.recordType,ScoreSet
root.license.longName,CC0 (Public domain)
root.license.shortName,CC0
root.license.active,True
root.license.link,https://creativecommons.org/publicdomain/zero/1.0/
root.license.version,1.0
root.license.id,1
root.license.recordType,ShortLicense
root.supersededScoreSet.urn,urn:mavedb:00001231-a-1
root.supersededScoreSet.recordType,ShorterScoreSet
root.primaryPublicationIdentifiers[0].identifier,39315434
root.primaryPublicationIdentifiers[0].dbName,PubMed
root.primaryPublicationIdentifiers[0].recordType,PublicationIdentifier
root.primaryPublicationIdentifiers[0].title,Multiplexed Assays of Variant Effect and Automated Patch Clamping Improve 
root.primaryPublicationIdentifiers[0].authors[0].name,O'Neill MJ
root.primaryPublicationIdentifiers[0].authors[0].primary,True
root.primaryPublicationIdentifiers[0].authors[1].name,Ng CA
root.primaryPublicationIdentifiers[0].authors[1].primary,False
root.primaryPublicationIdentifiers[0].authors[2].name,Aizawa T
root.primaryPublicationIdentifiers[0].authors[2].primary,False
root.primaryPublicationIdentifiers[0].authors[3].name,Sala L
root.primaryPublicationIdentifiers[0].authors[3].primary,False
root.primaryPublicationIdentifiers[0].authors[4].name,Bains S
root.primaryPublicationIdentifiers[0].authors[4].primary,False
root.primaryPublicationIdentifiers[0].authors[5].name,Winbo A
root.primaryPublicationIdentifiers[0].authors[5].primary,False
root.primaryPublicationIdentifiers[0].authors[6].name,Ullah R
root.primaryPublicationIdentifiers[0].authors[6].primary,False
root.primaryPublicationIdentifiers[0].authors[7].name,Shen Q
root.primaryPublicationIdentifiers[0].authors[7].primary,False
root.primaryPublicationIdentifiers[0].authors[8].name,Tan CY
root.primaryPublicationIdentifiers[0].authors[8].primary,False
root.primaryPublicationIdentifiers[0].authors[9].name,Kozek K
root.primaryPublicationIdentifiers[0].authors[9].primary,False
root.primaryPublicationIdentifiers[0].authors[10].name,Vanags LR
root.primaryPublicationIdentifiers[0].authors[10].primary,False
root.primaryPublicationIdentifiers[0].authors[11].name,Mitchell DW
root.primaryPublicationIdentifiers[0].authors[11].primary,False
root.primaryPublicationIdentifiers[0].authors[12].name,Shen A
root.primaryPublicationIdentifiers[0].authors[12].primary,False
root.primaryPublicationIdentifiers[0].authors[13].name,Wada Y
root.primaryPublicationIdentifiers[0].authors[13].primary,False
root.primaryPublicationIdentifiers[0].authors[14].name,Kashiwa A
root.primaryPublicationIdentifiers[0].authors[14].primary,False
root.primaryPublicationIdentifiers[0].authors[15].name,Crotti L
root.primaryPublicationIdentifiers[0].authors[15].primary,False
root.primaryPublicationIdentifiers[0].authors[16].name,Dagradi F
root.primaryPublicationIdentifiers[0].authors[16].primary,False
root.primaryPublicationIdentifiers[0].authors[17].name,Musu G
root.primaryPublicationIdentifiers[0].authors[17].primary,False
root.primaryPublicationIdentifiers[0].authors[18].name,Spazzolini C
root.primaryPublicationIdentifiers[0].authors[18].primary,False
root.primaryPublicationIdentifiers[0].authors[19].name,Neves R
root.primaryPublicationIdentifiers[0].authors[19].primary,False
root.primaryPublicationIdentifiers[0].authors[20].name,Bos JM
root.primaryPublicationIdentifiers[0].authors[20].primary,False
root.primaryPublicationIdentifiers[0].authors[21].name,Giudicessi JR
root.primaryPublicationIdentifiers[0].authors[21].primary,False
root.primaryPublicationIdentifiers[0].authors[22].name,Bledsoe X
root.primaryPublicationIdentifiers[0].authors[22].primary,False
root.primaryPublicationIdentifiers[0].authors[23].name,Gamazon ER
root.primaryPublicationIdentifiers[0].authors[23].primary,False
root.primaryPublicationIdentifiers[0].authors[24].name,Lancaster MC
root.primaryPublicationIdentifiers[0].authors[24].primary,False
root.primaryPublicationIdentifiers[0].authors[25].name,Glazer AM
root.primaryPublicationIdentifiers[0].authors[25].primary,False
root.primaryPublicationIdentifiers[0].authors[26].name,Knollmann BC
root.primaryPublicationIdentifiers[0].authors[26].primary,False
root.primaryPublicationIdentifiers[0].authors[27].name,Roden DM
root.primaryPublicationIdentifiers[0].authors[27].primary,False
root.primaryPublicationIdentifiers[0].authors[28].name,Weile J
root.primaryPublicationIdentifiers[0].authors[28].primary,False
root.primaryPublicationIdentifiers[0].authors[29].name,Roth F
root.primaryPublicationIdentifiers[0].authors[29].primary,False
root.primaryPublicationIdentifiers[0].authors[30].name,Salem JE
root.primaryPublicationIdentifiers[0].authors[30].primary,False
root.primaryPublicationIdentifiers[0].authors[31].name,Earle N
root.primaryPublicationIdentifiers[0].authors[31].primary,False
root.primaryPublicationIdentifiers[0].authors[32].name,Stiles R
root.primaryPublicationIdentifiers[0].authors[32].primary,False
root.primaryPublicationIdentifiers[0].authors[33].name,Agee T
root.primaryPublicationIdentifiers[0].authors[33].primary,False
root.primaryPublicationIdentifiers[0].authors[34].name,Johnson CN
root.primaryPublicationIdentifiers[0].authors[34].primary,False
root.primaryPublicationIdentifiers[0].authors[35].name,Horie M
root.primaryPublicationIdentifiers[0].authors[35].primary,False
root.primaryPublicationIdentifiers[0].authors[36].name,Skinner JR
root.primaryPublicationIdentifiers[0].authors[36].primary,False
root.primaryPublicationIdentifiers[0].authors[37].name,Ackerman MJ
root.primaryPublicationIdentifiers[0].authors[37].primary,False
root.primaryPublicationIdentifiers[0].authors[38].name,Schwartz PJ
root.primaryPublicationIdentifiers[0].authors[38].primary,False
